date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:20	227/227	---M--	200	added ('OK')	image/png	etag:%225453e086-e3%22	https://code.jquery.com/mobile/1.4.5/images/icons-png/action-white.png	C:/My%20Web%20Sites/travel/code.jquery.com/mobile/1.4.5/images/icons-png/action-white.png	(from https://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
16:31:20	243/243	---M--	200	added ('OK')	image/png	etag:%225453e086-f3%22	https://code.jquery.com/mobile/1.4.5/images/icons-png/alert-white.png	C:/My%20Web%20Sites/travel/code.jquery.com/mobile/1.4.5/images/icons-png/alert-white.png	(from https://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
16:31:20	173/173	---M--	200	added ('OK')	image/png	etag:%225453e086-ad%22	https://code.jquery.com/mobile/1.4.5/images/icons-png/arrow-d-l-white.png	C:/My%20Web%20Sites/travel/code.jquery.com/mobile/1.4.5/images/icons-png/arrow-d-l-white.png	(from https://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
16:31:21	171/171	---M--	200	added ('OK')	image/png	etag:%225453e086-ab%22	https://code.jquery.com/mobile/1.4.5/images/icons-png/arrow-d-r-white.png	C:/My%20Web%20Sites/travel/code.jquery.com/mobile/1.4.5/images/icons-png/arrow-d-r-white.png	(from https://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
16:31:21	149/149	---M--	200	added ('OK')	image/png	etag:%225453e086-95%22	https://code.jquery.com/mobile/1.4.5/images/icons-png/arrow-d-white.png	C:/My%20Web%20Sites/travel/code.jquery.com/mobile/1.4.5/images/icons-png/arrow-d-white.png	(from https://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
16:31:21	156/156	---M--	200	added ('OK')	image/png	etag:%225453e086-9c%22	https://code.jquery.com/mobile/1.4.5/images/icons-png/arrow-l-white.png	C:/My%20Web%20Sites/travel/code.jquery.com/mobile/1.4.5/images/icons-png/arrow-l-white.png	(from https://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
16:31:22	152/152	---M--	200	added ('OK')	image/png	etag:%225453e086-98%22	https://code.jquery.com/mobile/1.4.5/images/icons-png/arrow-r-white.png	C:/My%20Web%20Sites/travel/code.jquery.com/mobile/1.4.5/images/icons-png/arrow-r-white.png	(from https://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
16:31:22	169/169	---M--	200	added ('OK')	image/png	etag:%225453e086-a9%22	https://code.jquery.com/mobile/1.4.5/images/icons-png/arrow-u-l-white.png	C:/My%20Web%20Sites/travel/code.jquery.com/mobile/1.4.5/images/icons-png/arrow-u-l-white.png	(from https://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
16:31:22	165/165	---M--	200	added ('OK')	image/png	etag:%225453e086-a5%22	https://code.jquery.com/mobile/1.4.5/images/icons-png/arrow-u-r-white.png	C:/My%20Web%20Sites/travel/code.jquery.com/mobile/1.4.5/images/icons-png/arrow-u-r-white.png	(from https://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
16:31:22	151/151	---M--	200	added ('OK')	image/png	etag:%225453e086-97%22	https://code.jquery.com/mobile/1.4.5/images/icons-png/arrow-u-white.png	C:/My%20Web%20Sites/travel/code.jquery.com/mobile/1.4.5/images/icons-png/arrow-u-white.png	(from https://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
